,SMILES,NFAs name ,HOMO,LUMO,Eg,Jsc,Voc,FF,PCE,reference
149,CCCCCCCCOC1=C2SC3=C(C2=C(CCCCCCCC)C2=C1C1=C(S2)C2=C(C=C(/C=C4C(=O)C5=C(C=C(Cl)C(Cl)=C5)C4=C(C#N)C#N)S2)C1(C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1)C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C3SC(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1,COBDT-4Cl,-5.57,-3.98,1.39,21.6,0.86,0.7,13.2,"B. Kan, X. Chen, K. Gao, M. Zhang, F. Lin, X. Peng, F. Liu, A.K.-Y. Jen, Asymmetrical side-chain engineering of small-molecule acceptors enable high-performance nonfullerene organic solar cells, Nano Energy. 67 (2020) 104209. https://doi.org/10.1016/j.nanoen.2019.104209."
150,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)C#N)C2=C/C3=CC(SCC(CC)CCCC)=C(C4=CC5=C(C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C=C(C%11=C(SCC(CC)CCCC)C=C(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C\%12=C(C#N)/C#N)=O)S%11)S%10)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)S4)S3,ACS8,-5.54,-4.05,1.3,25.3,0.75,0.693,13.2,"J. Chen, G. Li, Q. Zhu, X. Guo, Q. Fan, W. Ma, M. Zhang, Highly efficient near-infrared and semitransparent polymer solar cells based on an ultra-narrow bandgap nonfullerene acceptor, J. Mater. Chem. A. 7 (2019) 3745–3751. https://doi.org/10.1039/C8TA11484F."
151,O=C(C1=C(C)SC=C1C/2=C(C#N)C#N)C2=C/C(S3)=CC4=C3C5=C(C4(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C8=C(C9=CC=C(CC(CC)CCCC)S9)C%10=C(C(C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%14SC(/C=C%15/C(C%16=CSC(C)=C%16C%15=O)=C(C#N)C#N)=C%13)=C%14S%10)C(C%17=CC=C(CC(CC)CCCC)S%17)=C8S5,BTTIC,-5.59,-3.86,1.47,19.52,0.904,0.747,13.18,"W. Gao, T. Liu, R. Ming, Z. Luo, K. Wu, L. Zhang, J. Xin, D. Xie, G. Zhang, W. Ma, H. Yan, C. Yang, Near-Infrared Small Molecule Acceptor Enabled High-Performance Nonfullerene Polymer Solar Cells with Over 13% Efficiency, Adv. Funct. Mater. 28 (2018) 1803128. https://doi.org/10.1002/adfm.201803128."
152,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(C=C3CC4=C(SC(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)=C4)C3=C2)C2=C1C1=C(C=C3C(=C1)CC1=C3SC(/C=C3C(=O)C4=C(C=CC(F)=C4)C3=C(C#N)C#N)=C1)C2(CC(CC)CCCC)CC(CC)CCCC,ZITI-4F,-5.66,-3.81,,21.3,0.85,0.7276,13.18,"J. Zhang, W. Liu, S. Chen, S. Xu, C. Yang, X. Zhu, One-pot synthesis of electron-acceptor composite enables efficient fullerene-free ternary organic solar cells, J. Mater. Chem. A. 6 (2018) 22519–22525. https://doi.org/10.1039/C8TA08961B."
153,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)C#N)C2=CC3=CSC(C4=CC5=C(C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C=C(C%11=C(OCC(CC)CCCC)C(/C=C%12C(C(C=C(F)C(F)=C%13)=C%13C/%12=C(C#N)C#N)=O)=CS%11)S%10)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)S4)=C3OCC(CC)CCCC,I-IEICO-4F,,,1.56,22.86,0.849,0.679,13.18,"W. Wang, B. Zhao, Z. Cong, Y. Xie, H. Wu, Q. Liang, S. Liu, F. Liu, C. Gao, H. Wu, Y. Cao, Nonfullerene Polymer Solar Cells Based on a Main-Chain Twisted Low-Bandgap Acceptor with Power Conversion Efficiency of 13.2%, ACS Energy Lett. (2018). https://doi.org/10.1021/acsenergylett.8b00627."
154,CCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=CC3=C(C=C21)N(C(CCCCCCCC)CCCCCCCC)C1=C3C=C2C(=C1)C1=C(C3=C(S1)C(CCCCCCCCC)=C(/C=C1C(=O)C4=C(C=C(Cl)C(Cl)=C4)C1=C(C#N)C#N)S3)C2(C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1,DTTC-4Cl-C9,-5.65,-3.95,,20.5,0.95,0.6723,13.17,"V.K. Karapala, T.-W. Chen, K.-J. Ma, P.-L. Lu, Y.-J. Su, W.-D. Fu, H.-M. Shih, S.-J. Lu, T.-Y. Lee, C.-F. Chang, J.-T. Chen, C.-S. Hsu, Exploring Ternary Organic Solar Cells for the Improved Efficiency of 16.5% with the Compatible Nonacyclic Carbazole-Based Nonfullerene Acceptors as the Third Component, ACS Appl. Energy Mater. 4 (2021) 2847–2855. https://doi.org/10.1021/acsaem.1c00149."
155,O=C(C(C=C(Cl)C=C1)=C1C/2=C(C#N)C#N)C2=C/C3=CC4=C(S3)C5=C(C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C(SC(/C=C%11C(C(C=CC(Cl)=C%12)=C%12C\%11=C(C#N)C#N)=O)=C%13)=C%13S%10)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)S4,ITIC-2CI,-5.68,-3.99,1.55,19.08,0.922,0.748,13.16,"H. Zhang, H. Yao, J. Hou, J. Zhu, J. Zhang, W. Li, R. Yu, B. Gao, S. Zhang, J. Hou, Over 14% Efficiency in Organic Solar Cells Enabled by Chlorinated Nonfullerene Small-Molecule Acceptors, Adv. Mater. 30 (2018) 1800613. https://doi.org/10.1002/adma.201800613."
156,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=CC(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=CC(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,BTIC-Cl,-5.42,-3.91,1.34,21.35,0.88,0.697,13.16,"H. Lai, Q. Zhao, Z. Chen, H. Chen, P. Chao, Y. Zhu, Y. Lang, N. Zhen, D. Mo, Y. Zhang, F. He, Trifluoromethylation Enables a 3D Interpenetrated Low-Band-Gap Acceptor for Efficient Organic Solar Cells, Joule. 4 (2020) 688–700. https://doi.org/10.1016/j.joule.2020.02.004."
157,CCCCCCCCC1=CC=C(C2(C3=CC=C(CCCCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2C(=O)C5=C(C=C(F)C(F)=C5)C2=C(C#N)C#N)S3)N(C(CCCCCCCC)CCCCCCCC)C2=CC3=C(C=C24)C(C2=CC=C(CCCCCCCC)C=C2)(C2=CC=C(CCCCCCCC)C=C2)C2=C3SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C=C1,DTC(4Ph)-4FIC,-5.8,-3.94,1.86,18.29,0.95,0.757,13.15,"J. Yuan, Y. Zhang, L. Zhou, G. Zhang, H.-L. Yip, T.-K. Lau, X. Lu, C. Zhu, H. Peng, P.A. Johnson, M. Leclerc, Y. Cao, J. Ulanski, Y. Li, Y. Zou, Single-Junction Organic Solar Cell with over 15% Efficiency Using Fused-Ring Acceptor with Electron-Deficient Core, Joule. 3 (2019) 1140–1151. https://doi.org/10.1016/j.joule.2019.01.004."
158,O=C(C1=C(C)SC=C1C/2=C(C#N)C#N)C2=C/C3=CC4=C(S3)C5=C(C6=C(C7=CC=C(CC(CC)CCCC)S7)C8=C(C9=C(S8)C(SC(/C=C%10C(C%11=C(C)SC=C%11C\%10=C(C#N)/C#N)=O)=C%12)=C%12C9(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)C(C%15=CC=C(CC(CC)CCCC)S%15)=C6S5)C4(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17,BTTIC-2M,-5.6,-3.86,1.47,19.39,0.9,0.753,13.15,"W. Gao, T. Liu, Z. Luo, L. Zhang, R. Ming, C. Zhong, W. Ma, H. Yan, C. Yang, Regulating exciton bonding energy and bulk heterojunction morphology in organic solar cells via methyl-functionalized non-fullerene acceptors, J. Mater. Chem. A. 7 (2019) 6809–6817. https://doi.org/10.1039/C9TA00597H."
159,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(C=C3CC4=C(SC(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)=C4)C3=C2)C2=C1C1=C(C=C3C(=C1)CC1=C3SC(/C=C3C(=O)C4=C(C=CC(F)=C4)C3=C(C#N)C#N)=C1)C2(CC(CC)CCCC)CC(CC)CCCC,ZITI-3F,-5.64,-3.76,,20.67,0.9,0.7153,13.15,"J. Zhang, W. Liu, S. Chen, S. Xu, C. Yang, X. Zhu, One-pot synthesis of electron-acceptor composite enables efficient fullerene-free ternary organic solar cells, J. Mater. Chem. A. 6 (2018) 22519–22525. https://doi.org/10.1039/C8TA08961B."
160,CCCCCCC1=C(SC(/C=C2S/C(N(C2=O)CC)=C(C#N)C#N)=C1CCCCCC)C#CC3=CC=C(S3)C4=C5C(N(C(C6=CC=C(S6)C#CC7=C(C(CCCCCC)=C(S7)/C=C8S/C(N(C8=O)CC)=C(C#N)C#N)CCCCCC)=C5C(N4CC(CCCC)CC)=O)CC(CCCC)CC)=O,MPU6,-5.54,-3.7,1.43,20.38,1.04,0.62,13.14,"M. Privado, H. Dahiya, P. de la Cruz, M.L. Keshtov, F. Langa, G.D. Sharma, A ternary organic solar cell with 15.6% efficiency containing a new DPP-based acceptor, J. Mater. Chem. C. 9 (2021) 16272–16281. https://doi.org/10.1039/D1TC02241E."
161,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)C#N)C2=C/C(S3)=CC4=C3C5=C(N4CCCCCCCC)C6=C(C7=CC(C8(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)=C(C%11=C8C(N(CCCCCCCC)C%12=C%13SC(/C=C%14C(C(C=C(F)C(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%12)=C%13S%11)C=C7C6(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)S5,INPIC-4F,-5.42,-3.94,1.39,21.61,0.85,0.715,13.13,"J. Sun, X. Ma, Z. Zhang, J. Yu, J. Zhou, X. Yin, L. Yang, R. Geng, R. Zhu, F. Zhang, W. Tang, Dithieno[3,2-b:2′,3′-d]pyrrol Fused Nonfullerene Acceptors Enabling Over 13% Efficiency for Organic Solar Cells, Adv. Mater. 30 (2018) 1707150. https://doi.org/10.1002/adma.201707150."
162,CCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C1SC1=C2SC2=C1C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C2SC(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCC,5T-OFIC-,-5.51,-3.86,1.34,24.32,0.792,0.682,13.12,"L. Meng, H.-H. Gao, S. Wu, Y. Sun, X. Wan, Y. Yang, J. Wang, Z. Guo, H. Chen, C. Li, Y. Chen, Structural optimization of acceptor molecules guided by a semi-empirical model for organic solar cells with efficiency over 15%, Sci. China Mater. 64 (2021) 2388–2396. https://doi.org/10.1007/s40843-020-1651-5."
163,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(CCCCCCCC)CCCCCCCC)=C(S3)C5=C4C=C(C(C=C6C(C(C=C7C(CCCCCCCC)(CCCCCCCC)C8=C(C7=C9)SC(/C=C%10C(C(C=C(F)C(F)=C%11)=C%11C\%10=C(C#N)C#N)=O)=C8)=C9C6(CCCCCCCC)CCCCCCCC)=C%12)=C%12C%13(CCCCCCCC)CCCCCCCC)C%13=C5,TflF-4FIC,-5.71,-3.96,1.61,17.6,0.98,0.76,13.1,"G. Liu, J. Jia, K. Zhang, X. Jia, Q. Yin, W. Zhong, L. Li, F. Huang, Y. Cao, 15% Efficiency Tandem Organic Solar Cell Based on a Novel Highly Efficient Wide-Bandgap Nonfullerene Acceptor with Low Energy Loss, Adv. Energy Mater. 9 (2019) 1803657. https://doi.org/10.1002/aenm.201803657."
164,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC(/C=C4/C(=O)C5=CSC=C5C4=C(C#N)C#N)=C3)C3=C2C2=C(S3)C(C3=CC(F)=C(SC(CC)CCCC)S3)=C3C(=C2C2=C(F)C=C(SC(CC)CCCC)S2)SC2=C3C(C3=CC=C(CCCCCC)C=C3)(C3=CC=C(CCCCCC)C=C3)C3=C2SC(/C=C2/C(=O)C4=CSC=C4C2=C(C#N)C#N)=C3)C=C1,BDTSF-IC,-5.58,-3.93,1.56,20.36,0.9,0.7148,13.1,"Y. Zhang, Y. Cho, L. Zhong, Y. Wang, B. Huang, Z. Yuan, C. Yang, Y. Chen, Y. Li, Two-Dimension Conjugated Acceptors Based on Benzodi(cyclopentadithiophene) Core with Thiophene-Fused Ending Group for Efficient Polymer Solar Cells, Sol. RRL. 4 (2020) 2000071. https://doi.org/10.1002/solr.202000071."
165,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2C(=O)C4=C(C=C(C)S4)C2=C(C#N)C#N)=C3)C=C1,IDTT-Cl-2F,-5.42,-3.92,1.56,19.2,0.96,0.711,13.1,"J. Cai, X. Zhang, C. Guo, Y. Zhuang, L. Wang, D. Li, D. Liu, T. Wang, Asymmetric and Halogenated Fused-Ring Electron Acceptor for Efficient Organic Solar Cells, Adv. Funct. Mater. 31 (2021) 2102189. https://doi.org/10.1002/adfm.202102189."
166,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)C#N)C2=C/C3=CC4=C(S3)C(C(C5=CC=C(CCCCCC)C=C5)(C6=CC=C(CCCCCC)C=C6)OC7=C8SC9=C7SC%10=C9OC(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C%10SC%14=C%13SC(/C=C%15C(C(C=C(F)C(F)=C%16)=C%16C\%15=C(C#N)/C#N)=O)=C%14)=C8S4,O6F-4F,-5.71,-3.96,1.61,16.8,0.98,0.69,13.1,"B. Wang, Y. Fu, Q. Yang, J. Wu, H. Liu, H. Tang, Z. Xie, High-efficiency ternary nonfullerene organic solar cells fabricated with a near infrared acceptor enhancing exciton utilization and extending absorption, J. Mater. Chem. C. 7 (2019) 10498–10506. https://doi.org/10.1039/C9TC03534F."
167,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=C(OC(CC)CCCC)C=C(/C=C5C(=O)C6=CC(F)=C(F)C=C6C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=C(OCC(CC)CCCC)C=C(/C=C4C(=O)C5=CC(F)=C(F)C=C5C4=C(C#N)C#N)S3)=C2)C=C1,o-IO1,-5.44,-4.15,1.28,26.3,0.74,0.67,13.1,"J. Lee, S. Song, J. Huang, Z. Du, H. Lee, Z. Zhu, S.-J. Ko, T.-Q. Nguyen, J.Y. Kim, K. Cho, G.C. Bazan, Bandgap Tailored Nonfullerene Acceptors for Low-Energy-Loss Near-Infrared Organic Photovoltaics, ACS Mater. Lett. 2 (2020) 395–402. https://doi.org/10.1021/acsmaterialslett.9b00512."
168,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)[Se]2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2[Se]C(/C=C2C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3)C=C1,SRID-4F,,,,20.21,0.846,0.752,13.05,"F. Lin, L. Zuo, K. Gao, M. Zhang, S.B. Jo, F. Liu, A.K.-Y. Jen, Regio-Specific Selenium Substitution in Non-Fullerene Acceptors for Efficient Organic Solar Cells, Chem. Mater. 31 (2019) 6770–6778. https://doi.org/10.1021/acs.chemmater.9b01242."
169,CCCCCCCCC(C)N1C2=CC3=C(C=C2C2=C1C=C1C(=C2)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C1SC1=C2SC(/C=C2C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C1)C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C3SC2=C1SC(/C=C1C(=O)C3=C(C=C(F)C(F)=C3)C1=C(C#N)C#N)=C2,4TCIC-4F,-5.53,-3.95,1.51,18.98,0.94,0.73,13.02,"J. Ouyang, G. Zeng, Y. Xin, X. Zhao, X. Yang, A Novel Carbazole-Based Nonfullerene Acceptor for High-Efficiency Polymer Solar Cells, Sol. RRL. 4 (2020) 1900417. https://doi.org/10.1002/solr.201900417."
170,CCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C1SC1=C2SC2=C1C(C1=CC=C(CCCCCC)C=C1)(C1=CC=C(CCCCCC)C=C1)C1=C2SC(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCC,5T-2C8-2Cl,-5.57,-3.9,1.29,24.97,0.802,0.65,13.02,"H. Gao, X. Wan, Z. Xuan, W. Ma, J. Xin, C. Li, Y. Chen, Finely modulated asymmetric nonfullerene acceptors enabling simultaneously improved voltage and current for efficient organic solar cells, J. Mater. Chem. C. 10 (2022) 2742–2748. https://doi.org/10.1039/D1TC03793E."
171,CCCCC(CC)CN1N=C2C(=N1)C1=C(C3=C2C2=C(C4=C(C=C(/C=C5C(=O)C6=C(C=CC=C6)C5=C(C#N)C#N)S4)S2)N3CC(CC)CCCC)N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=CC=C3)C2=C(C#N)C#N)=C1,Y1,-5.45,-3.95,,21.4,0.88,0.695,13,"R. Wang, J. Yuan, R. Wang, G. Han, T. Huang, W. Huang, J. Xue, H.-C. Wang, C. Zhang, C. Zhu, P. Cheng, D. Meng, Y. Yi, K.-H. Wei, Y. Zou, Y. Yang, Rational Tuning of Molecular Interaction and Energy Level Alignment Enables High-Performance Organic Photovoltaics, Adv. Mater. 31 (2019) 1904215. https://doi.org/10.1002/adma.201904215."
172,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(/C=C2C(=O)C5=C(C=C(F)C(F)=C5)C2=C(C#N)C#N)S3)N(CCCCCC)C2=C4SC3=C2C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C3SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C=C1,TIT-2FIC,-5.46,-3.98,,20.69,0.905,0.6942,13,"L. Xie, Y. Zhang, W. Zhuang, S.Y. Jeong, Q. Bian, H. Li, J. Cao, W. Liu, H. Tan, H.Y. Woo, J. Zhang, E. Wang, Low-bandgap nonfullerene acceptor based on thieno[3,2-b]indole core for highly efficient binary and ternary organic solar cells, Chem. Eng. J. 427 (2022) 131674. https://doi.org/10.1016/j.cej.2021.131674."
173,O=C1C2=C(C=CC=C2)C(/C1=C/C3=C(CCCCCC)C(S4)=C(S3)C5=C4C6=C(N5CC(CC)CCCC)C7=C(C(SC8=C9SC(/C=C%10/C(C(C=CC=C%11)=C%11C%10=O)=C(C#N)C#N)=C8CCCCCC)=C9N7CC(CC)CCCC)C%12=NN(CC(CC)CCCC)N=C6%12)=C(C#N)/C#N,Y16,-5.25,-3.66,1.44,21.33,0.914,0.6669,13,"X. Ma, M. Luo, W. Gao, J. Yuan, Q. An, M. Zhang, Z. Hu, J. Gao, J. Wang, Y. Zou, C. Yang, F. Zhang, Achieving 14.11% efficiency of ternary polymer solar cells by simultaneously optimizing photon harvesting and exciton distribution, J. Mater. Chem. A. 7 (2019) 7843–7851. https://doi.org/10.1039/C9TA01497G."
174,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=CC4=CC=CC=C43)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=CC4=C3C=CC=C4)C2=C(C#N)C#N)=C1CCCCCCCCCCC,BT-BIC,-5.46,-3.73,1.38,24.1,0.85,0.616,13,"G. Li, X. Zhang, L.O. Jones, J.M. Alzola, S. Mukherjee, L. Feng, W. Zhu, C.L. Stern, W. Huang, J. Yu, V.K. Sangwan, D.M. DeLongchamp, K.L. Kohlstedt, M.R. Wasielewski, M.C. Hersam, G.C. Schatz, A. Facchetti, T.J. Marks, Systematic Merging of Nonfullerene Acceptor π-Extension and Tetrafluorination Strategies Affords Polymer Solar Cells with >16% Efficiency, J. Am. Chem. Soc. 143 (2021) 6123–6139. https://doi.org/10.1021/jacs.1c00211."
175,CCCCCCCCCCCC1=C(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,LL2-2CL,-5.64,-4.02,1.62,26.66,0.72,0.671,12.95,"H. Lu, H. Jin, H. Huang, W. Liu, Z. Tang, J. Zhang, Z. Bo, High-Efficiency Organic Solar Cells Based on Asymmetric Acceptors Bearing One 3D Shape-Persistent Terminal Group, Adv. Funct. Mater. 31 (2021) 2103445. https://doi.org/10.1002/adfm.202103445."
176,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5C(=O)C6=CC=CC=C6C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2C(=O)C4=C(C=C(Br)C(Br)=C4)C2=C(C#N)C#N)=C3)C=C1,IT-2Br,-5.72,-4.15,1.5,21.98,0.845,0.6953,12.92,"Y. Liu, Y. Zhao, S. Lu, K. Zhu, Q. Wang, X. Kang, L. Yu, S. Dai, M. Sun, Effects of brominated terminal groups on the performance of fused-ring electron acceptors in organic solar cells, Dyes Pigments. 194 (2021) 109652. https://doi.org/10.1016/j.dyepig.2021.109652."
177,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC(/C=C4C(=O)C5=C(C)SC=C5C4=C(C#N)C#N)=C3)C3=C2C2=C(S3)C(C3=CC=C(CC(CC)CCCC)S3)=C3C(=C2C2=CC=C(CC(CC)CCCC)S2)SC2=C3C(C3=CC=C(CCCCCC)C=C3)(C3=CC=C(CCCCCC)C=C3)C3=C2SC(/C=C2C(=O)C4=C(C)SC=C4C2=C(C#N)C#N)=C3)C=C1,BTTIC-Th,-5.49,-3.9,1.467,19.45,0.902,0.736,12.91,"T. Liu, W. Gao, Y. Wang, T. Yang, R. Ma, G. Zhang, C. Zhong, W. Ma, H. Yan, C. Yang, Unconjugated Side-Chain Engineering Enables Small Molecular Acceptors for Highly Efficient Non-Fullerene Organic Solar Cells: Insights into the Fine-Tuning of Acceptor Properties and Micromorphology, Adv. Funct. Mater. 29 (2019) 1902155. https://doi.org/10.1002/adfm.201902155."
178,CCCCCCOC1=C(/C=C2C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)SC(C2=CC3=C(S2)C2=CC4=C(C=C2C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C2=C(C=C(C3=CC(OCCCCCC)=C(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)S2)C4(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)=C1,IDTCN-O,-5.54,-3.8,1.53,19.96,0.91,0.732,12.91,"Y. Liu, M. Li, J. Yang, W. Xue, S. Feng, J. Song, Z. Tang, W. Ma, Z. Bo, High-Efficiency As-Cast Organic Solar Cells Based on Acceptors with Steric Hindrance Induced Planar Terminal Group, Adv. Energy Mater. 9 (2019) 1901280. https://doi.org/10.1002/aenm.201901280."
179,CCCCCCCCCCCN1C2=C(SC3=C2SC(/C=C2C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3CC(CC)CCCC)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CC(CC)CCCC)=C(/C=C2C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)S3)N1CC[C@H](C)CCCCCCCC,N-C11,,,,21.47,0.852,0.706,12.91,"K. Jiang, Q. Wei, J.Y.L. Lai, Z. Peng, H.K. Kim, J. Yuan, L. Ye, H. Ade, Y. Zou, H. Yan, Alkyl Chain Tuning of Small Molecule Acceptors for Efficient Organic Solar Cells, Joule. 3 (2019) 3020–3033. https://doi.org/10.1016/j.joule.2019.09.010."
180,CCCCCCCCCCCN1C2=C(SC3=C2SC(/C=C2C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3CC(CC)CCCC)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CC(CC)CCCC)=C(/C=C2C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)S3)N1CCCCCCCCCCC,N-C11,,,,21.47,0.852,0.706,12.91,"K. Jiang, Q. Wei, J.Y.L. Lai, Z. Peng, H.K. Kim, J. Yuan, L. Ye, H. Ade, Y. Zou, H. Yan, Alkyl Chain Tuning of Small Molecule Acceptors for Efficient Organic Solar Cells, Joule. 3 (2019) 3020–3033. https://doi.org/10.1016/j.joule.2019.09.010."
